_id,objectType,broadPeriod,description,inscription,mintName,district,parish,lat,lng,fromDate,toDate,imageURL,discoveryMethod,subsequently
ObjectId(57da611885c5eb0da62cb3a1),FIREARM,POST MEDIEVAL,"A cylindrical central pipe which is probably one of the three components which took a ramrod fitting from the underside of the barrel of a gun such as a musket. The pipe expands slightly in the centre and tapers in towards each end. Each terminal has a circumferential ridged border. Projecting from one side is an integral pierced attachment tab. The hole is infilled with corrosion.

Similar examples which can be found on the database are SUR-386F5B, https://finds.org.uk/database/artefacts/record/id/716808 and SUR-398FB8, https://finds.org.uk/database/artefacts/record/id/459527",,,Selby,,,,1750,,https://finds.org.uk/images/voakden/medium/LVPLDCD2D1.JPG,Metal detector,Returned to finder
ObjectId(57da611885c5eb0da62cb3a2),PIPE TAMPER,POST MEDIEVAL,"Copper alloy and steel combina\tion pipe tamper and cleaner. The corroded remains of a ferrous metal implement are retained within a pressed metal three-sided handle, open on the fourth side, and with an expanded end and open circular terminal. A suspension loop of drawn wire is located at the other end. Stamped vegetal decorative motifs appear on both sides of the handle. The metal implement was presumably a blade and spike for cutting tobacco and reaming out a pipe while the rounded end would be used as a tamper. It would function in much the same way as a penknife, with implements folded out of the handle on its open side. Suggested date: Post-Medieval, 1800-1900.

Length: 45.4mm, Width: 12.5mm, Thickness (handle): 5.3mm, Diameter (terminal): 12.3mm, Weight: 6.67gms.",,,West Lindsey,,,,1800,,https://finds.org.uk/images/mforeman/medium/NLM30443.jpg,Metal detector,Returned to finder
ObjectId(57da611885c5eb0da62cb3a5),PIPE TAMPER,MODERN,"A later 18th-19th century novelty tobacco pipe tamper in the form of a leg, with slight bend at the knee,wearing an ankle boot.",,,West Lindsey,Welton,53.2988996,-0.53100232,1800,,https://finds.org.uk/images/adaubney/medium/PUBLICA0C586.jpg,Metal detector,Returned to finder
ObjectId(57da611885c5eb0da62cb3a4),FIGURINE,POST MEDIEVAL,"A copper alloy figurine of possible post-medieval date. The figurine is anthropomorphic (human like), consisting of a standing female figure. The head is globular. No facial details remain. The arms are at her sides, slightly away from her body in a welcoming gesture. The figure's right knee is slightly bent inwards. At the rear of the object a central groove defines the back which curves outwards at the waist emphasising the figure's posterior. Between the hips a hole is drilled through the figure measuring 4mm in diameter.

Abrasion, caused by movement whilst within the plough soil, has resulted in a loss of some of the original surface detail. The hole could suggest that this is a figurine of Venus but due to the simplistic style of the artefact, this identification is tentative. The reddish patina and condition of the metal suggests a post-medieval date. Casting seems are visible down the sides of the figure. This object falls within a range of other bawdy objects, mainly pipe tampers, such as SUR-59B224, https://finds.org.uk/database/artefacts/record/id/634637 which were no doubt used to titillate and amuse.",,,Sefton,,,,1500,,https://finds.org.uk/images/voakden/medium/LVPLB57522.jpg,Metal detector,Returned to finder
ObjectId(57da611885c5eb0da62cb3a3),TOKEN,POST MEDIEVAL,"A complete post medieval copper alloy trade token farthing dating AD1648-1674. Not in Williamson 1889. Obverse is a boy in central field with a pipe, legend reads [RO]GER . [---]. AT. THE. Reverse is a R I P in central field with legend BLACK BOY IN WA[--].

Weight: 0.88gDiameter: 14.92mm",,,Tower Hamlets,St. Katharine's and Wapping,51.49407113,-0.07113608,1648,,https://finds.org.uk/images/edwood/medium/TokenLON0B4A9E.jpg,Metal detector,Returned to finder
ObjectId(57da611885c5eb0da62cb3a6),TOBACCO PIPE,POST MEDIEVAL,"Pipeclay tobacco pipe fragment. Moulded wall of a pipe bowl with vertical sides and moulded decoration  including pellets intermittently distributed below the flat topped rim and possibly elsewhere. The ample capacity inferred from what remains may suggest an early 19th-century date. Suggested date: Post-Medieval, 1800-1850.

Height: 27.2mm, Width: 17.3mm, Thickness (wall): 3mm, Weight: 2.87gms.",,,North Lincolnshire,,,,1800,,https://finds.org.uk/images/mforeman/medium/NLM30327.jpg,Chance find during metal detecting,Returned to finder
ObjectId(57da611885c5eb0da62cb3a7),TOBACCO PIPE,POST MEDIEVAL,"Pipeclay tobacco pipe fragment. Oval heel and part of the base of the bowl of a moulded clay pipe with wire drawn bore. Suggested date: Post-Medieval, 1680-1800.

Length: 22mm, Weight: 2.02gms.",,,North Lincolnshire,,,,1680,,https://finds.org.uk/images/mforeman/medium/NLM30302.jpg,Metal detector,Returned to finder
ObjectId(57da611885c5eb0da62cb3a8),PIPE (SMOKING),POST MEDIEVAL,"The bowl of a clay pipe dating to the post medieval or modern period, c. 1850 to 1910.

The bowl has a flat base and is sub-circular in plan with sub-circular hollow to hold the tobacco. The pipe is decorated with a double motif of a young woman with a flower in her hair cheek to cheek with an old woman wearing a cap or bonnet. There is a flat area at the back of the bowl where the two heads join and just below is a small hole and break which is where the stem would have been attached.",,,Northumberland,Belsay,55.07840477,-1.89189697,1850,,https://finds.org.uk/images/a8622912/medium/DURDF0E8C.jpg,Metal detector,Returned to finder
ObjectId(57da611885c5eb0da62cb3a9),CLAY PIPE (SMOKING),POST MEDIEVAL,"An incomplete clay pipe of post-medieval date. All that remains of the pipe is the complete bowl which is small and bulbous with an incised circumferential line around the rim. There is a round spurred foot beneath the bowl with no discernable makers mark and the tube has been lost to an old and worn break. The circular hole through the tube is slightly off-centre and measures 2.97 mm in diameter and would suggest a rough date of c.1640-1660 AD. Pipes such as this are an early form in the typology of clay pipes and would generally date from the middle of the 17th century. The pipe is 40.78 mm long, 19.20 mm in diameter at widest point and 14.86 mm at the mouth and weighs 10.0 g.",,,Ashford,,,,1640,,https://finds.org.uk/images/alancharman67/medium/PUBLICB830B3.jpg,Metal detector,Returned to finder
ObjectId(57da611885c5eb0da62cb3aa),CLAY PIPE (SMOKING),POST MEDIEVAL,"An incomplete clay pipe of post-medieval date AD.1680-1710. All that remains of the pipe is the incomplete bowl which is long and slightly bulbous with an incised circumferential line around the rim. There is a oval flat foot beneath the bowl with no discernable makers mark and most of the tube has been lost to an old and worn break. The circular hole through the tube is slightly off-centre and measures 2.73 mm in diameter and would suggest a rough date of c.1680-1710 AD. Pipes such as this are an early to mid form in the typology of clay pipes and would generally date from the end of the 17th century. The pipe is 103.23 mm long, 19.96 mm in diameter at widest point and 18.59 mm at the mouth and weighs 20.1 g.",,,Rother,,,,1680,,https://finds.org.uk/images/alancharman67/medium/PUBLICB8057A.jpg,Metal detector,Returned to finder
